Scenario,controls,covid,year,statistic,value
B.1.2,External,nocovid,1,mean.bias,-0.11141434280348994
B.1.2,External,nocovid,1,sd,2.4567214793604575
B.1.2,External,nocovid,1,rmse,2.456791123005589
B.1.2,External,nocovid,2,mean.abs.bias,3.2463690217635492
B.1.2,External,nocovid,2,abs.mean.bias,0.18569057133914477
B.1.2,External,nocovid,2,mean.bias,-0.18569057133914477
B.1.2,External,nocovid,2,sd,4.094535798934103
B.1.2,External,nocovid,2,rmse,4.09465187167599
B.1.2,External,nocovid,3,mean.abs.bias,4.544916630468957
B.1.2,External,nocovid,3,abs.mean.bias,0.259966799874803
B.1.2,External,nocovid,3,mean.bias,-0.259966799874803
B.1.2,External,nocovid,3,sd,5.732350118507736
B.1.2,External,nocovid,3,rmse,5.7325126203463785
B.1.2,External,nocovid,4,mean.abs.bias,5.84346423917439
B.1.2,External,nocovid,4,abs.mean.bias,0.33424302841045844
B.1.2,External,nocovid,4,mean.bias,-0.33424302841045844
B.1.2,External,nocovid,4,sd,7.370164438081391
B.1.2,External,nocovid,4,rmse,7.370373369016787
B.1.2,External,nocovid,5,mean.abs.bias,7.1420118478798
B.1.2,External,nocovid,5,abs.mean.bias,0.40851925694611396
B.1.2,External,nocovid,5,mean.bias,-0.40851925694611396
B.1.2,External,nocovid,5,sd,9.007978757655025
B.1.2,External,nocovid,5,rmse,9.008234117687175
B.1.2,Internal,covid,1,mean.abs.bias,2.354140316972271
B.1.2,Internal,covid,1,abs.mean.bias,0.14826029318280348
B.1.2,Internal,covid,1,mean.bias,0.14826029318280348
B.1.2,Internal,covid,1,sd,3.010864137864961
B.1.2,Internal,covid,1,rmse,3.0115035058094493
B.1.2,Internal,covid,2,mean.abs.bias,2.819699588570128
B.1.2,Internal,covid,2,abs.mean.bias,0.6240163851215244
B.1.2,Internal,covid,2,mean.bias,-0.6240163851215244
B.1.2,Internal,covid,2,sd,3.52870797103857
B.1.2,Internal,covid,2,rmse,3.579982239324873
B.1.2,Internal,covid,3,mean.abs.bias,3.443045481903666
B.1.2,Internal,covid,3,abs.mean.bias,0.6609435692363865
B.1.2,Internal,covid,3,mean.bias,-0.6609435692363865
B.1.2,Internal,covid,3,sd,4.337652361147107
B.1.2,Internal,covid,3,rmse,4.383428333150626
B.1.2,Internal,covid,4,mean.abs.bias,4.140692671370328
B.1.2,Internal,covid,4,abs.mean.bias,0.497074615517985
B.1.2,Internal,covid,4,mean.bias,-0.497074615517985
B.1.2,Internal,covid,4,sd,5.27901637846291
B.1.2,Internal,covid,4,rmse,5.297108746252418
B.1.2,Internal,covid,5,mean.abs.bias,4.89354726361644
B.1.2,Internal,covid,5,abs.mean.bias,0.2488639536924411
B.1.2,Internal,covid,5,mean.bias,-0.2488639536924411
B.1.2,Internal,covid,5,sd,6.2742930137753845
B.1.2,Internal,covid,5,rmse,6.272954055667283
B.1.2,Internal,nocovid,1,mean.abs.bias,1.3374818840196565
B.1.2,Internal,nocovid,1,abs.mean.bias,0.5825741863671294
B.1.2,Internal,nocovid,1,mean.bias,0.5825741863671294
B.1.2,Internal,nocovid,1,sd,1.5947917620443544
B.1.2,Internal,nocovid,1,rmse,1.6963686879264455
B.1.2,Internal,nocovid,2,mean.abs.bias,2.2291364733661
B.1.2,Internal,nocovid,2,abs.mean.bias,0.9709569772785493
B.1.2,Internal,nocovid,2,mean.bias,0.9709569772785493
B.1.2,Internal,nocovid,2,sd,2.6579862700739305
B.1.2,Internal,nocovid,2,rmse,2.8272811465440824
B.1.2,Internal,nocovid,3,mean.abs.bias,3.1207910627125353
B.1.2,Internal,nocovid,3,abs.mean.bias,1.3593397681899735
B.1.2,Internal,nocovid,3,mean.bias,1.3593397681899735
B.1.2,Internal,nocovid,3,sd,3.7211807781034967
B.1.2,Internal,nocovid,3,rmse,3.9581936051617106
B.1.2,Internal,nocovid,4,mean.abs.bias,4.012445652058966
B.1.2,Internal,nocovid,4,abs.mean.bias,1.747722559101387
B.1.2,Internal,nocovid,4,mean.bias,1.747722559101387
B.1.2,Internal,nocovid,4,sd,4.784375286133065
B.1.2,Internal,nocovid,4,rmse,5.0891060637793375
B.1.2,Internal,nocovid,5,mean.abs.bias,4.904100241405408
B.1.2,Internal,nocovid,5,abs.mean.bias,2.1361053500128118
B.1.2,Internal,nocovid,5,mean.bias,2.1361053500128118
B.1.2,Internal,nocovid,5,sd,5.847569794162636
B.1.2,Internal,nocovid,5,rmse,6.2200185223969715
B.2.1,External,covid,1,mean.abs.bias,4.60268737741411
B.2.1,External,covid,1,abs.mean.bias,0.6031890649616314
B.2.1,External,covid,1,mean.bias,-0.6031890649616314
B.2.1,External,covid,1,sd,5.825637572336569
B.2.1,External,covid,1,rmse,5.850984025449084
B.2.1,External,covid,2,mean.abs.bias,5.188178641216743
B.2.1,External,covid,2,abs.mean.bias,2.0806646326191984
B.2.1,External,covid,2,mean.bias,-2.0806646326191984
B.2.1,External,covid,2,sd,6.3857366458071665
B.2.1,External,covid,2,rmse,6.710085137911272
B.2.1,External,covid,3,mean.abs.bias,6.173841385025375
B.2.1,External,covid,3,abs.mean.bias,2.709524253581308
B.2.1,External,covid,3,mean.bias,-2.709524253581308
B.2.1,External,covid,3,sd,7.445621705094898
B.2.1,External,covid,3,rmse,7.916307831999387
B.2.1,External,covid,4,mean.abs.bias,7.322865825105885
B.2.1,External,covid,4,abs.mean.bias,3.068437736846832
B.2.1,External,covid,4,mean.bias,-3.068437736846832
B.2.1,External,covid,4,sd,8.784572251070541
B.2.1,External,covid,4,rmse,9.296756550535013
B.2.1,External,covid,5,mean.abs.bias,8.491446784232199
B.2.1,External,covid,5,abs.mean.bias,3.321181695382754
B.2.1,External,covid,5,mean.bias,-3.321181695382754
B.2.1,External,covid,5,sd,10.264447253680725
B.2.1,External,covid,5,rmse,10.778608793461801
B.2.1,External,nocovid,1,mean.abs.bias,2.0284106903045585
B.2.1,External,nocovid,1,abs.mean.bias,0.19853605510519493
B.2.1,External,nocovid,1,mean.bias,-0.19853605510519493
B.2.1,External,nocovid,1,sd,2.549737015343261
B.2.1,External,nocovid,1,rmse,2.5549115630278614
B.2.1,External,nocovid,2,mean.abs.bias,3.3806844838409313
B.2.1,External,nocovid,2,abs.mean.bias,0.3308934251753171
B.2.1,External,nocovid,2,mean.bias,-0.3308934251753171
B.2.1,External,nocovid,2,sd,4.2495616922387685
B.2.1,External,nocovid,2,rmse,4.2581859383797696
B.2.1,External,nocovid,3,mean.abs.bias,4.732958277377294
B.2.1,External,nocovid,3,abs.mean.bias,0.4632507952454464
B.2.1,External,nocovid,3,mean.bias,-0.4632507952454464
B.2.1,External,nocovid,3,sd,5.949386369134267
B.2.1,External,nocovid,3,rmse,5.961460313731668
B.2.1,External,nocovid,4,mean.abs.bias,6.085232070913675
B.2.1,External,nocovid,4,abs.mean.bias,0.5956081653155755
B.2.1,External,nocovid,4,mean.bias,-0.5956081653155755
B.2.1,External,nocovid,4,sd,7.6492110460297775
B.2.1,External,nocovid,4,rmse,7.664734689083579
B.2.1,External,nocovid,5,mean.abs.bias,7.437505864450042
B.2.1,External,nocovid,5,abs.mean.bias,0.7279655353856992
B.2.1,External,nocovid,5,mean.bias,-0.7279655353856992
B.2.1,External,nocovid,5,sd,9.349035722925274
B.2.1,External,nocovid,5,rmse,9.368009064435475
B.2.1,Internal,covid,1,mean.abs.bias,2.405443156506574
B.2.1,Internal,covid,1,abs.mean.bias,0.9389530903548643
B.2.1,Internal,covid,1,mean.bias,-0.9389530903548643
B.2.1,Internal,covid,1,sd,2.9382465228483907
B.2.1,Internal,covid,1,rmse,3.081827209572196
B.2.1,Internal,covid,2,mean.abs.bias,3.4271678690889265
